"Delete","Delete"
"Delete Account","Delete Account"
"Delete Banner","Delete Banner"
"Delete File","Delete File"
"Delete Withdrawal","Delete Withdrawal"
"Detect By Cookie","Detect By Cookie"
"Detect By Iframe","Detect By Iframe"
"Detect By Software","Detect By Software"
"Detect Proxy By Header","Detect Proxy By Header"
"Detect Proxy By IP Bank","Detect Proxy By IP Bank"
"Detect Proxy By gethostbyaddr Function","Detect Proxy By gethostbyaddr Function"
"Detect by Ip address","Detect by Ip address"
"Disabled","Disabled"
"Discount","Discount"
"Discount Configuration","Discount Configuration"
"Discount Type","Discount Type"
"Discount Type (from 2nd order)","Discount Type (from 2nd order)"
"Discount Value","Discount Value"
"Discount Value (from 2nd order)","Discount Value (from 2nd order)"
"Discount on","Discount on"
"Discount policy","Discount policy"
"Edit","Edit"
"Edit Account ","Edit Account "
"Edit Banner ","Edit Banner "
"Edit Customer","Edit Customer"
"Edit Withdrawal for ","Edit Withdrawal for "
"Edit Withdrawals","Edit Withdrawals"
"Enter URL of the website on which affiliates will place your banners and links","Enter URL of the website on which affiliates will place your banners and links"
"Email","Email"
"Email Address","Email Address"
"Email Configuration","Email Configuration"
"Email template of Payment verification","Email template of Payment verification"
"Email template sent to admin when a new affiliate registers","Email template sent to admin when a new affiliate registers"
"Email template sent to admin when a transaction is created","Email template sent to admin when a transaction is created"
"Email template sent to admin when an affiliate requests withdrawal","Email template sent to admin when an affiliate requests withdrawal"
"Email template sent to affiliate account when a transaction is changed","Email template sent to affiliate account when a transaction is changed"
"Email template sent to affiliate account when a transaction is changed","Email template sent to affiliate account when a transaction is changed"
"Email template sent to affiliates when commission of a transaction is reduced","Email template sent to affiliates when commission of a transaction is reduced"
"Email template sent to affiliate when a transaction is created","Email template sent to affiliate when a transaction is created"
"Email template sent to affiliate when withdrawal is processed","Email template sent to affiliate when withdrawal is processed"
"Email template sent to newly approved affiliates","Email template sent to newly approved affiliates"
"Email template sent to newly registered affiliates","Email template sent to newly registered affiliates"
"Email: ","Email: "
"Enabled","Enabled"
"Enter your friends' emails here (separated by comma)","Enter your friends' emails here (separated by comma)"
"Estimated Fee","Estimated Fee"
"Excluding Fee","Excluding Fee"
"The number of days for admin to store cookies of this program. Affiliates and invited customers can receive commission and discount for purchases made through affiliate link within this time.","The number of days for admin to store cookies of this program. Affiliates and invited customers can receive commission and discount for purchases made through affiliate link within this time."
"FORWARDED","FORWARDED"
"Facebook","Facebook"
"Fax","Fax"
"Fee","Fee"
"Fee: ","Fee: "
"Filter:","Filter:"
"First Name","First Name"
"Fixed","Fixed"
"Fixed Amount","Fixed Amount"
"Fixed Amount per Item","Fixed Amount per Item"
"Fixed Amount per Cart","Fixed Amount per Cart"
"Flash","Flash"
"From","From"
"From Date","From Date"
"General Configuration","General Configuration"
"General Information","General Information"
"Get Affiliate Link","Get Affiliate Link"
"Get Link","Get Link"
"Getting new captcha","Getting new captcha"
"Global","Global"
"Gmail","Gmail"
"Google+","Google+"
"Group","Group"
"History","History"
"History Withdrawal","History Withdrawal"
"History transaction","History transaction"
"Holding period","Holding period"
"ID","ID"
"IP Reset Time (days)","IP Reset Time (days)"
"If "No", system will be faster","If "No", system will be faster"
"Image","Image"
"Import Customer Info","Import Customer Info"
"Including %s tax","Including %s tax"
"Including Fee","Including Fee"
"Including fee","Including fee"
"Please re-enter your current password.","Please re-enter your current password."
"Invalid email address","Invalid email address"
"Invalid email address.","Invalid email address."
"This item does not exist","This item does not exist"
"Items %s to %s of %s total","Items %s to %s of %s total"
"Landing Page","Landing Page"
"Last Name","Last Name"
"Level %d","Level %d"
"Lifetime Sales Commission","Lifetime Sales Commission"
"Link","Link"
"Link: ","Link: "
"Loading...","Loading..."
"Login","Login"
"Please enter your username and password.","Please enter your username and password."
"Login or create an account","Login or create an account"
"Logout","Logout"
"Magestore Extension","Magestore Extension"
"Create your own personal link","Create your own personal link"
"Manage Accounts","Manage Accounts"
"Manage Banners","Manage Banners"
"Manage Payments","Manage Payments"
"Manage Transactions","Manage Transactions"
"Manage Withdrawals","Manage Withdrawals"
"Manual","Manual"
"Material page using CMS","Material page using CMS"
"Moneybooker Email Address","Moneybooker Email Addresss"
"Referring Materials","Referring Materials"
"Method: ","Method: "
"The minimum balance required to request withdrawal is %s","The minimum balance required to request withdrawal is %s"
"Monthly","Monthly"
"Monthly additional commissions","Monthly additional commissions"
"My Affiliate Account","My Affiliate Account"
"My Balance","My Balance"
"My Balance: ","My Balance: "
"N/A","N/A"
"Name","Name"
"Need admin's approval","Need admin's approval"
"New Account","New Account"
"New Address","New Address"
"New Banner","New Banner"
"New Password","New Password"
"New Withdrawal","New Withdrawal"
"The New Password field is empty. Please enter a new password.","The New Password field is empty. Please enter a new password."
"Next","Next"
"No","No"
"No.","No."
"Not Now","Not Now"
"Not including fee","Not including fee"
"Not verified","Not verified"
"Notification after signing up","Notification after signing up"
"Order Status","Order Status"
"OUR PROGRAM","OUR PROGRAM"
"OUR PROGRAMS","OUR PROGRAMS"
"On shopping cart page","On shopping cart page"
"On Hold","On Hold"
"On product pages","On product pages"
"Only Affiliate program Discount","Only Affiliate program Discount"
"Only Shopping cart Discount","Only Shopping cart Discount"
"For creating a new affiliate account which does not exist in customer database","For creating a new affiliate account which does not exist in customer database"
"Or retrieve contacts from","Or retrieve contacts from"
"Order","Order"
"Order Subtotal","Order Subtotal"
"Order ID","Order ID"
"Order Number","Order Number"
"Page:","Page:"
"Paid by Affiliate Credit","Paid by Affiliate Credit"
"The payment has been made successfully.","The payment has been made successfully."
"Password","Password"
"This account's password will be updated.","This account's password will be updated."
"Password can be changed by an affiliate.","Password can be changed by an affiliate."
"Path","Path"
"Pay","Pay"
"Pay Now","Pay Now"
"Pay commission","Pay commission"
"Pay for Order","Pay for Order"
"Pay for Order: ","Pay for Order: "
"Net profit of sale (Pay per Profit)","Net profit of sale (Pay per Profit)"
"Pay per Sale Commission","Pay per Sale Commission"
"Pay per Sales/ Profit Commission","Pay per Sales/ Profit Commission"
"Pay-per-Profit","Pay-per-Profit"
"Pay-per-Sale","Pay-per-Sale"
"Payer","Payer"
"Payment","Payment"
"Payment Email","Payment Email"
"Moneybooker Email Address","Moneybooker Email Address"
"Payment Info","Payment Info"
"Payment Information","Payment Information"
"Payment Manager","Payment Manager"
"Payment Method","Payment Method"
"Payment Method Information","Payment Method Information"
"PayPal Email Address","PayPal Email Address"
