"You may also be interested in the following product(s)", "Up-Sell Products"
"Product Description", "Description"
"Based on your selection, you may be interested in the following items:", "Crossell Products"
"Remove item", "Remove"
"Go to Shopping Cart", "View Cart"
"Cart Subtotal:", "Total:"
"Cart", "My Cart"
